record_id,role,seed,truth_log_d_start,truth_log_d_end,truth_d_start_um2_s,truth_d_end_um2_s
source_000,source,1141099285,3.804832609610707,4.528286176816265,44.91773068726528,92.59972545660557
source_001,source,1986742328,3.604190251863053,4.42240950633864,36.75191201274157,83.29674779540281
source_002,source,887810946,4.128101582979549,4.518254723631742,62.05999528091527,91.6754592630466
source_003,source,1695771227,3.8822180009087637,4.824321597777509,48.531739224633775,124.50197730885857
source_004,source,1424090857,3.6051824942532127,4.346267813288417,36.78839691570027,77.18983777200495
source_005,source,255652411,3.36837562152214,4.400387012564287,29.031330866892564,81.48239727510413
target_000,target,309615236,3.7354147353377236,4.443286780717075,41.90540161051259,85.05403672828068
target_001,target,1846475513,3.9209820843224428,4.769107288867908,50.44996657803758,117.81402111358315
target_002,target,597945133,3.613294774127509,4.391890494670686,37.08804847294126,80.79301345687634
target_003,target,816984571,3.7022688733189075,4.326191801631022,40.53917835556792,75.65562564882005
