method_id,strategy,metric,n_accepted,n_rejected,accepted_mean,rejected_mean,rejected_minus_accepted
hb_tpm_latent_mse,clustered,mean_hidden_dice,1973,477,0.758981909832445,0.7376188435071996,-0.021363066325245317
hb_tpm_latent_mse,clustered,mean_hidden_hd95_px,1973,477,9.268224222993174,10.236038017329358,0.967813794336184
hb_tpm_latent_mse,clustered,area_curve_relative_rmse,1973,477,0.5451463031907506,0.6765476713066622,0.13140136811591152
hb_tpm_latent_mse,random,mean_hidden_dice,2013,437,0.7573038780403852,0.7312503089886162,-0.026053569051769032
hb_tpm_latent_mse,random,mean_hidden_hd95_px,2013,437,9.213529666357072,10.267685332433409,1.054155666076337
hb_tpm_latent_mse,random,area_curve_relative_rmse,2013,437,0.5477156805265618,0.6417132400467879,0.09399755952022604
hb_tpm_latent_mse,uniform,mean_hidden_dice,434,56,0.758244219172409,0.7038962727299866,-0.05434794644242247
hb_tpm_latent_mse,uniform,mean_hidden_hd95_px,434,56,9.182012314119923,10.744894897291719,1.5628825831717954
hb_tpm_latent_mse,uniform,area_curve_relative_rmse,434,56,0.5656244606706328,0.5045435095104418,-0.061080951160190966
oa_hb_tpm_isotropic_prior,clustered,mean_hidden_dice,309,2141,0.76167864905978,0.7484060724692255,-0.013272576590554475
oa_hb_tpm_isotropic_prior,clustered,mean_hidden_hd95_px,309,2141,9.449940653855638,9.93292215375974,0.48298149990410266
oa_hb_tpm_isotropic_prior,clustered,area_curve_relative_rmse,309,2141,0.4364904542215255,0.6282476332473984,0.19175717902587291
oa_hb_tpm_isotropic_prior,random,mean_hidden_dice,797,1653,0.7529654373621972,0.744944689475293,-0.008020747886904211
oa_hb_tpm_isotropic_prior,random,mean_hidden_hd95_px,797,1653,9.703047800955972,9.955749074103563,0.2527012731475917
oa_hb_tpm_isotropic_prior,random,area_curve_relative_rmse,797,1653,0.5625128624265645,0.6195692787690423,0.05705641634247782
oa_hb_tpm_isotropic_prior,uniform,mean_hidden_dice,459,31,0.7477286424070637,0.7364016068863954,-0.011327035520668272
oa_hb_tpm_isotropic_prior,uniform,mean_hidden_hd95_px,459,31,9.721725638190366,11.670766662826654,1.9490410246362888
oa_hb_tpm_isotropic_prior,uniform,area_curve_relative_rmse,459,31,0.6041339212258449,0.48718955850513934,-0.11694436272070552
oa_hb_tpm_map,clustered,mean_hidden_dice,297,2153,0.7608865672870949,0.7484906829685054,-0.012395884318589512
oa_hb_tpm_map,clustered,mean_hidden_hd95_px,297,2153,9.535190490163632,9.920069551065577,0.38487906090194457
oa_hb_tpm_map,clustered,area_curve_relative_rmse,297,2153,0.4080552082063183,0.6316048079687757,0.22354959976245742
oa_hb_tpm_map,random,mean_hidden_dice,801,1649,0.7521572912792925,0.7451573814711923,-0.00699990980810028
oa_hb_tpm_map,random,mean_hidden_hd95_px,801,1649,9.701998999334327,9.960885691885023,0.2588866925506963
oa_hb_tpm_map,random,area_curve_relative_rmse,801,1649,0.5721923337161435,0.6159310784085665,0.043738744692423004
oa_hb_tpm_map,uniform,mean_hidden_dice,462,28,0.7477461524398074,0.7336152023184558,-0.014130950121351571
oa_hb_tpm_map,uniform,mean_hidden_hd95_px,462,28,9.748732234558217,11.436128059611416,1.6873958250531995
oa_hb_tpm_map,uniform,area_curve_relative_rmse,462,28,0.6067919483193082,0.43582443756305683,-0.17096751075625133
oa_hb_tpm_no_phase_alignment,clustered,mean_hidden_dice,296,2154,0.7626366499489217,0.7483926166280778,-0.014244033320843896
